"Name","Seasons","Average corrVOL","Average wRC+"
"Dee Brown",1,101.2,56
"Mike Caruso",2,98.5,67
"Carlos Febles",2,100.7,84
"Ken Harvey",2,101.5,87
"A.J. Hinch",1,103.4,67
"Raul Ibanez",13,101.3,115
"Chuck Knoblauch",11,96.6,112
"Brent Mayne",6,101.6,74
"Neifi Perez",9,102.6,58
"Mark Quinn",2,103,95
"Joe Randa",10,102.1,96
"Brandon Barnes",3,99.7,74
"Mike Sweeney",7,100.2,128
"Michael Tucker",10,102.2,97
"Adrian Beltre",18,101.8,116
"Shawn Green",13,102.1,119
"Marquis Grissom",14,101.5,94
"Mark Grudzielanek",11,100.2,92
"Cesar Izturis",8,99.3,63
"Brian Jordan",7,101.6,113
"Eric Karros",12,100.5,109
"Chad Kreuter",1,99.9,127
"Paul Lo Duca",7,100.9,100
"Dave Roberts",6,99,95
"Joe Thurston",1,99.8,72
"Ronnie Belliard",10,102.4,95
"Jeffrey Hammonds",4,104,106
"Jose Hernandez",8,102.1,87
"Tyler Houston",2,103.2,83
"Geoff Jenkins",9,101.4,114
"Luis Lopez",1,103.7,74
"J.P. Arencibia",3,102.7,77
"Alex Ochoa",5,100.6,102
"Alex Sanchez",2,102.4,84
"Richie Sexson",8,103.5,120
"Eric Young",11,99.7,95
"Casey Blake",8,101.4,107
"Brian Buchanan",1,102.6,114
"Jay Canizaro",1,106.1,79
"Cristian Guzman",10,100.4,76
"Denny Hocking",5,102.4,78
"Torii Hunter",15,101.1,111
"Jacque Jones",8,100.9,100
"Bobby Kielty",3,98.9,111
"Corey Koskie",6,99,117
"Doug Mientkiewicz",6,97.9,103
"Dustan Mohr",3,100.4,101
"David Ortiz",15,102.5,142
"A.J. Pierzynski",15,100.7,93
"Luis Rivas",3,97.4,79
"Michael Barrett",7,100.3,94
"Peter Bergeron",2,103.1,59
"Orlando Cabrera",13,99.7,83
"Endy Chavez",4,101.7,76
"Wil Cordero",6,101.8,98
"Vladimir Guerrero",14,100.8,137
"Todd Frazier",5,100.4,111
"Troy O'Leary",7,101.2,98
"Brandon Phillips",12,100.1,96
"Brian Schneider",6,100.2,79
"Lee Stevens",7,104.4,96
"Fernando Tatis",4,100.1,108
"Chris Truby",1,99.6,41
"Jose Vidro",8,98.4,116
"Brad Wilkerson",6,103,109
"Ron Coomer",5,103.6,82
"Jason Giambi",12,100.5,149
"Derek Jeter",18,96.6,120
"Nick Johnson",4,99.4,131
"Jorge Posada",13,101.1,125
"Juan Rivera",7,100.8,105
"Alfonso Soriano",13,103,113
"Shane Spencer",1,97.4,90
"John Vander Wal",7,99.2,113
"Robin Ventura",14,101.1,114
"Rondell White",6,100.6,106
"Bernie Williams",14,99.2,127
"Enrique Wilson",1,104.4,66
"Edgardo Alfonzo",10,100,111
"Roberto Alomar",16,98.8,118
"Jeromy Burnitz",10,103.4,110
"Roger Cedeno",4,100.4,93
"Joe McEwing",4,98.4,77
"Rey Ordonez",6,97.4,54
"Jay Payton",8,101.7,94
"Timo Perez",3,100.5,82
"Jason Phillips",3,99.4,84
"Mike Piazza",13,101,144
"Mo Vaughn",10,100.7,132
"Eric Byrnes",5,100.4,100
"Eric Chavez",9,100.9,118
"Jermaine Dye",10,100.6,118
"Jeremy Giambi",3,101.2,126
"Brennan Boesch",3,102.2,96
"Scott Hatteberg",8,101.2,107
"Ramon Hernandez",8,102.5,95
"David Justice",12,100.6,130
"Terrence Long",6,99.5,89
"Frank Menechino",1,100.4,106
"Greg Myers",3,102.1,100
"Carlos Pena",9,101.2,121
"Olmedo Saenz",3,102,103
"Larry Sutton",1,104.6,69
"Miguel Tejada",13,102,109
"Randy Velarde",5,99,108
"Bobby Abreu",15,99.3,131
"Marlon Anderson",7,101,85
"Pat Burrell",11,101.1,117
"Marlon Byrd",10,99.1,106
"Johnny Estrada",4,102.2,89
"Doug Glanville",6,100,82
"Matt Downs",1,100.5,138
"Travis Lee",8,101,95
"Mike Lieberthal",7,102.7,107
"Tomas Perez",1,101,75
"Scott Rolen",13,99,126
"Jimmy Rollins",14,102,96
"Mike Benjamin",3,97.7,57
"Adrian Brown",1,101.2,89
"Brian Giles",12,99.3,138
"Chad Hermansen",1,102.8,70
"Jason Kendall",14,97.9,97
"Rob Mackowiak",5,103,93
"Aramis Ramirez",13,102,118
"Tike Redman",2,99.4,71
"Pokey Reese",5,102.8,71
"Armando Rios",1,101.3,111
"Craig Wilson",4,103.5,113
"Jack Wilson",8,100.2,77
"Kevin Young",6,100.5,96
"Sean Burroughs",2,100.1,100
"Deivi Cruz",9,98.6,75
"Ron Gant",12,102.1,117
"D'Angelo Jimenez",3,101.7,96
"Ryan Klesko",12,99,127
"Mark Kotsay",13,99.9,98
"Tom Lampkin",2,104,84
"Ray Lankford",11,101.2,125
"Phil Nevin",7,102.1,120
"Bubba Trammell",3,104.3,107
"Ramon Vazquez",5,100.3,89
"Willie Bloomquist",2,102.8,71
"Bret Boone",11,101.9,104
"Pat Borders",4,99.4,86
"Mike Cameron",12,101.3,108
"Jeff Cirillo",9,98.1,108
"Ben Davis",1,103.9,89
"Carlos Guillen",7,99.5,116
"Edgar Martinez",12,96.8,152
"Mark McLemore",10,99.6,91
"John Olerud",15,99.3,131
"Scott Podsednik",6,99.7,92
"Desi Relaford",6,101.5,78
"Ruben Sierra",14,101.4,103
"Ichiro Suzuki",16,99.3,105
"Dan Wilson",7,100.9,88
"Rich Aurilia",10,101.1,103
"David Bell",8,101.4,92
"Barry Bonds",21,100.9,173
"Pedro Feliz",7,100.9,78
"Tom Goodwin",7,101.3,75
"Jeff Kent",16,100.5,123
"Ramon Martinez",3,100,77
"Reggie Sanders",11,101.2,117
"Benito Santiago",12,100.7,91
"Tsuyoshi Shinjo",2,101.6,84
"J.T. Snow",11,100.6,109
"Yorvit Torrealba",2,100.2,80
"Rick Ankiel",3,100.5,93
"J.D. Drew",11,99.8,129
"Jim Edmonds",13,100.2,136
"Andrew Romine",2,100.3,71
"Eli Marrero",2,102.2,68
"Al Martin",8,99.1,102
"Tino Martinez",13,102.9,112
"Mike Matheny",9,99.5,63
"Placido Polanco",13,99.2,99
"Albert Pujols",15,100.3,155
"Edgar Renteria",14,100.1,96
"Kerry Robinson",3,97.3,68
"So Taguchi",4,98.6,90
"Fernando Vina",5,100.4,99
"Chris Johnson",5,99.1,96
"Brent Abernathy",1,103.2,60
"Emil Brown",4,98,96
"Steve Cox",3,100.9,100
"Carl Crawford",11,100.8,107
"John Flaherty",5,101.5,81
"Ryan Freel",3,100.3,100
"Chris Gomez",6,100.2,84
"Ben Grieve",6,100.5,114
"Toby Hall",3,99.3,76
"Aubrey Huff",11,102.2,112
"Damian Rolls",1,103,76
"Jared Sandberg",1,106.6,96
"Jason Tyner",2,104,76
"Greg Vaughn",11,101.6,114
"Randy Winn",11,101.7,102
"Frank Catalanotto",6,99.9,115
"Carl Everett",8,102.6,115
"Juan Gonzalez",10,102.6,133
"Rusty Greer",6,97.9,122
"Gabe Kapler",6,100,91
"Mike Lamb",6,103.2,97
"Ryan Ludwick",7,102.8,114
"Kevin Mench",5,103.2,99
"Rafael Palmeiro",18,101.3,130
"Herbert Perry",2,98.9,107
"Alex Rodriguez",17,103.2,145
"Ivan Rodriguez",17,101.3,104
"Mark Teixeira",13,102,127
"Michael Young",13,99.9,104
"Dave Berg",2,100.8,87
"Jose Cruz",9,102.4,104
"Carlos Delgado",13,102.8,137
"Darrin Fletcher",7,100.5,93
"Eric Hinske",8,101.9,102
"Orlando Hudson",9,98.6,100
"Felipe Lopez",6,101.8,97
"Raul Mondesi",9,101.8,115
"Josh Phelps",2,97.7,104
"Shannon Stewart",8,98.9,109
"Vernon Wells",11,102.3,104
"Jayson Werth",8,100.2,125
"Chris Woodward",1,99.7,84
"John Valentin",7,101.6,109
"Mark Johnson",1,95.2,114
"Quinton McCracken",6,97.1,82
"Wilton Guerrero",5,98.9,74
"Andy Fox",2,100.6,92
"Keith Lockhart",5,100.9,73
"John Mabry",7,100.9,89
"Marvin Benard",5,103.4,101
"Mark Loretta",12,98.9,102
"Matt Stairs",12,101.4,117
"Alex Cora",5,101.6,80
"Greg Norton",6,101.8,92
"Andres Galarraga",16,100.6,119
"Dave Hollins",5,100.7,114
"Mark DeRosa",6,101.2,100
"Orlando Merced",8,98.5,110
"Lenny Harris",11,98.7,85
"Gerald Williams",5,101.9,85
"Jason Lane",3,99.5,101
"Brady Clark",4,98.1,100
"Jason Michaels",7,99.6,95
"Shawon Dunston",8,99.2,87
"David Dellucci",6,102.9,105
"Dave Hansen",2,98.6,76
"Tim Raines",15,96.9,127
"Ricky Ledee",4,101,91
"Mark Sweeney",6,95.7,101
"Eduardo Perez",2,103.4,113
"Miguel Cairo",8,99.8,79
"Erubiel Durazo",2,99.3,125
"Ramon Santiago",3,97.9,74
"Hank Blalock",5,105.3,99
"Abraham Nunez",7,100.9,67
"Warren Morris",2,100.2,88
"Homer Bush",1,97.2,97
"Henry Rodriguez",5,103.5,116
"Nick Punto",5,99.3,75
"Adam Everett",5,98,70
"Wilson Ramos",3,99.9,99
"Lou Collier",1,95.3,69
"Jeff DaVanon",3,101.8,106
"Mark Ellis",10,101.4,94
"Esteban German",2,95.8,113
"Matthew LeCroy",2,100.4,116
"Henry Mateo",1,99.1,52
"Craig Monroe",5,99.7,94
"Tony Tarasco",1,105.3,88
"Andres Torres",4,101.3,100
"Ty Wigginton",9,102.3,98
"Bobby Smith",1,100.5,99
"Matt Franco",4,95.2,87
"Keith Ginter",2,100.2,106
"Nick Green",2,101.5,79
"Marcus Thames",2,100.4,116
"Michael Cuddyer",10,100.4,113
"Karim Garcia",1,103.1,59
"Ross Gload",4,98.5,91
"Chris Widger",2,101.7,82
"Ruben Rivera",3,104.4,83
"David Ross",1,102.1,63
"Raul Gonzalez",1,99.9,75
"DeWayne Wise",1,102.6,91
"Marco Scutaro",10,98.1,97
"Jack Cust",4,99.9,129
"Coco Crisp",10,102,100
"Travis Hafner",5,100.5,149
"Josh Bard",2,100.9,123
"Chone Figgins",7,98.7,101
"Shane Andrews",3,103.2,84
"Jamey Carroll",9,99.2,89
"Ryan Christenson",1,100,82
"Jason Grabowski",1,99.8,79
"Bill Hall",7,103.9,94
"Omar Infante",8,99,87
"Felix Jose",4,101,105
"Kevin Orie",2,102.5,84
"Lyle Overbay",10,101,106
"Freddy Sanchez",6,100.9,98
"Eric Valent",1,102,110
"Miguel Olivo",6,100.3,80
"Ron Calloway",1,101.5,65
"Rocco Baldelli",2,97.1,95
"Xavier Nady",6,100.9,104
"Hideki Matsui",7,100.8,121
"Shane Victorino",8,100.4,108
"Chase Utley",11,99.5,123
"Jody Gerut",4,99.6,105
"Gerald Laird",2,100.8,62
"Reed Johnson",9,98.1,99
"Jason Ellison",2,96.2,72
"Jason Bay",7,100.8,127
"Tripp Cromer",1,102.5,51
"Lew Ford",3,100.1,98
"Jose Reyes",9,101,106
"Justin Morneau",8,102.4,117
"Jhonny Peralta",11,99,105
"Miguel Cabrera",13,101,155
"Eric Bruntlett",1,100.3,55
"Cody Ross",6,102.9,103
"Laynce Nix",3,104.1,90
"Matt Diaz",4,100.7,116
"Garrett Atkins",5,101.2,104
"Todd Linden",1,95.9,68
"Bobby Crosby",2,103.5,84
"David DeJesus",9,99.8,103
"Khalil Greene",5,102.7,94
"Clint Barmes",7,99.5,69
"Lance Niekro",1,105.8,92
"Luis Sojo",3,98.8,85
"Aaron Miles",5,99.6,81
"Jonny Gomes",7,103.1,105
"Rickie Weeks Jr.",8,101.5,110
"Kaz Matsui",3,100.3,83
"Joe Mauer",11,97.8,126
"Luis Gonzalez",2,98.6,90
"Wilson Betemit",4,101.2,103
"Wilson Valdez",1,93.7,75
"Jose Castillo",4,101.2,74
"Darnell McDonald",1,97.2,104
"Matt Holliday",12,100.9,137
"Hector Luna",1,95.2,95
"Josh Hamilton",5,99.6,135
"Willy Taveras",4,100,65
"Terrmel Sledge",2,103,95
"Brad Hawpe",6,100.9,116
"Jose Bautista",10,101.1,134
"Chad Tracy",3,99.9,105
"Chris Shelton",2,103.5,120
"Adam LaRoche",11,103.7,111
"Andres Blanco",1,95.4,138
"Adrian Gonzalez",11,102.3,132
"Damon Hollins",2,99.9,82
"Scott Hairston",6,103.6,99
"Midre Cummings",1,102.2,92
"Casey Kotchman",6,99.7,97
"Kevin Youkilis",7,96.4,130
"Cory Sullivan",2,103.8,78
"Corey Hart",6,99.5,119
"Desmond Jennings",3,99.7,104
"John Buck",8,99.7,85
"Jeff Baker",1,107.4,94
"Andy Phillips",1,102.9,71
"Nook Logan",2,99.8,71
"Alex Rios",12,99.9,98
"Josh Wilson",2,100.6,64
"Josh Willingham",8,100.4,123
"Ryan Church",4,103.1,100
"Ryan Doumit",5,103,102
"Ronny Paulino",2,99.4,90
"David Peralta",1,99.9,137
"Delmon Young",7,99.8,96
"Edwin Encarnacion",9,99.6,131
"Ryan Howard",9,103.3,123
"Greg Dobbs",5,100.7,89
"Jason Kubel",5,102.4,114
"Chris Burke",3,104.5,85
"Dan Johnson",2,106.2,111
"Brendan Harris",3,100.9,93
"Ronny Cedeno",4,97.7,63
"Gabe Gross",4,100.7,94
"Reggie Abercrombie",1,98.9,54
"Willy Aybar",2,104.3,92
"Grady Sizemore",6,101.6,122
"Don Kelly",3,99.3,77
"Ryan Raburn",4,102.3,105
"Mike Jacobs",4,102.8,96
"Kelly Johnson",10,102.5,102
"Scott Thorman",1,103.5,62
"Tony Pena",1,100.6,63
"Matt LaPorta",2,99.1,91
"John Rodriguez",1,96.9,111
"Carlos Santana",6,99.6,124
"Jose Tabata",3,99.7,104
"Darwin Barney",4,99.5,72
"Nelson Cruz",8,100.6,132
"Maicer Izturis",6,99.1,95
"Norris Hopper",1,97.2,97
"Pedro Alvarez",5,101.5,112
"Jemile Weeks",1,100.4,73
"Lucas Duda",5,102.2,126
"Jorge Cantu",5,103.1,99
"Yonder Alonso",3,97.6,102
"Pete Kozma",1,96.9,49
"Chris Parmelee",1,109,84
"Peter Bourjos",5,100.1,89
"Carlos Ruiz",7,101.1,107
"Zack Cozart",4,100,77
"Jason Repko",1,99.6,74
"Brandon Guyer",2,101,121
"Jordan Pacheco",1,94,90
"Garrett Jones",5,101.9,105
"Chris Duncan",1,103.4,117
"Pete Orr",2,95.7,72
"Derrick Robinson",1,96.2,80
"Travis Snider",2,102.8,99
"Scott Sizemore",1,97.3,109
"Angel Pagan",5,99.5,101
"Edgar Gonzalez",1,104.4,96
"Michael Morse",3,99.2,133
"Mike Napoli",8,101.7,123
"Mitch Moreland",5,100.4,99
"Jose Lopez",5,101.1,86
