"Name","Seasons","Average corrVOL","Average wRC+"
"Andy LaRoche",2,101.7,82
"Andy Dirks",1,105.7,90
"Jordy Mercer",4,100.9,90
"Sean Rodriguez",5,100.6,95
"Brandon Wood",1,99.5,68
"Freddy Galvis",2,99.4,76
"J.B. Shuck",1,93.5,97
"Johnny Giavotella",1,97.3,95
"Justin Maxwell",2,103.9,91
"Eduardo Nunez",2,103.5,96
"Derek Norris",3,98.9,92
"Mark Trumbo",5,102.6,114
"Chris Coghlan",3,100.6,122
"Ian Desmond",7,99.3,101
"Clint Robinson",2,99.4,98
"Juan Francisco",2,104.6,101
"Yadier Molina",12,98.9,101
"Caleb Joseph",1,103.6,87
"Eric Young",2,100.9,77
"Logan Forsythe",3,101.3,110
"Jeremy Hermida",3,97.8,103
"David Lough",1,95.5,95
"Collin Cowgill",1,99.1,103
"Joe Inglett",2,95.4,103
"Carlos Gonzalez",6,102.6,125
"Salvador Perez",4,99.3,92
"Seth Smith",8,101.5,112
"Billy Butler",8,100.2,116
"Paul Janish",1,98.5,40
"Ben Zobrist",8,99.7,124
"Trevor Plouffe",4,101.7,102
"Alex Avila",5,100.8,106
"Blake DeWitt",3,100.6,91
"Josh Fields",1,101.6,100
"Kevin Frandsen",3,100,78
"Neil Walker",7,100.5,116
"Lonnie Chisenhall",3,100.3,102
"Mark Reynolds",10,103.2,104
"Justin Ruggiano",1,106.9,94
"Chris Carter",1,95.3,95
"Travis d'Arnaud",1,99.7,102
"Akinori Iwamura",2,96.6,102
"Miguel Rojas",1,96.4,62
"Charlie Blackmon",3,103.2,110
"Jonathan Lucroy",5,99.5,114
"Ryan Flaherty",1,101.6,79
"Eric Sogard",3,96.2,76
"Logan Schafer",1,103.1,63
"Hanley Ramirez",9,99.6,128
"Wilin Rosario",3,102.2,99
"Brandon Boggs",1,100.1,93
"Adam Lind",6,103.5,112
"Matt Carpenter",5,98.4,133
"Everth Cabrera",2,99.1,91
"Chris Nelson",1,100.6,102
"Josh Harrison",4,99.6,103
"Dee Gordon",2,101,108
"Jason Bartlett",5,99.2,96
"Hunter Pence",9,100.7,120
"Sam Fuld",4,99.5,77
"Kurt Suzuki",8,99.8,86
"Chris Iannetta",4,97.6,118
"John Bowker",1,102.7,83
"Denard Span",6,98.4,103
"Dustin Pedroia",8,98.2,117
"Reid Brignac",1,103.3,90
"Pedro Florimon",1,93.7,67
"Daniel Descalso",5,100.6,76
"Ike Davis",4,102.8,108
"Brett Wallace",2,102.2,87
"Gerardo Parra",8,101.3,89
"Tadahito Iguchi",3,100.4,100
"Yuniesky Betancourt",7,97.2,77
"Kendrys Morales",5,102.9,123
"Donovan Solano",2,102.6,75
"Paulo Orlando",1,102.4,95
"Elvis Andrus",8,98,86
"Jason Castro",4,99.3,97
"Oscar Robles",1,101.5,88
"Conor Gillaspie",3,97.5,99
"Gordon Beckham",7,99.4,82
"Ezequiel Carrera",1,100.7,85
"Justin Smoak",6,101.4,97
"Alexi Amarista",4,100.8,68
"Lorenzo Cain",4,100.1,106
"Khris Davis",3,104.3,117
"Tyler Flowers",2,103.6,88
"Buster Posey",6,99.5,138
"Logan Morrison",3,100,103
"Paul Goldschmidt",5,98.7,147
"Danny Espinosa",5,102.5,90
"Starling Marte",4,96.9,123
"A.J. Pollock",2,103.8,117
"Chris Davis",6,102.8,124
"Drew Stubbs",5,102.7,91
"Brock Holt",2,100.4,98
"Evan Longoria",8,100,125
"Matt Adams",3,99.2,118
"Jeremy Hazelbaker",1,101.5,101
"David Freese",5,97.2,113
"Craig Gentry",2,95.1,107
"Yan Gomes",1,96.4,117
"Adam Rosales",1,100.1,114
"Josh Thole",2,99.9,78
"Rusty Ryal",1,97.5,73
"Ben Paulsen",1,102.4,97
"Justin Bour",1,98.3,118
"James Jones",1,100.1,68
"Jason Kipnis",5,100.4,111
"Nolan Arenado",4,102.3,110
"Kyle Seager",5,103.3,120
"Ryan Goins",1,100.4,84
"Brian Dozier",4,100,113
"Andrew McCutchen",8,99.6,139
"Austin Jackson",6,98.9,102
"DJ LeMahieu",4,97.9,91
"Jordan Schafer",2,105.3,68
"Ivan De Jesus",1,100,67
"Jay Bruce",9,104.7,107
"Colby Rasmus",8,102.4,102
"Chris Carter",4,103.8,113
"Brett Gardner",7,99.5,104
"Darin Ruf",1,103.7,96
"Steve Pearce",1,95,161
"Jeff Bianchi",1,96.5,51
"Michael Saunders",4,101.3,105
"Chris Owings",2,98.8,67
"Wil Myers",1,104.1,115
"Jonathan Villar",1,101.1,118
"Dustin Ackley",4,102.1,87
"Mike Trout",5,97.4,171
"Nick Franklin",1,101.8,93
"Billy Hamilton",3,101.2,71
"Tucker Barnhart",1,99.5,82
"Jose Iglesias",3,94.5,89
"Randal Grichuk",2,101.1,117
"Brandon Belt",4,100.7,133
"Oswaldo Arcia",1,100.4,108
"Danny Santana",1,92.1,132
"Marcell Ozuna",3,100.1,105
"Scooter Gennett",3,99.7,91
"Tommy Joseph",1,106.2,113
"Adeiny Hechavarria",4,97.9,70
"Enrique Hernandez",1,102.7,68
"Cheslor Cuthbert",1,98.3,94
"Derek Dietrich",1,100.1,117
"Cesar Hernandez",2,99.3,101
"Corey Dickerson",2,102.6,119
"Jedd Gyorko",4,103.1,98
"Andrelton Simmons",4,98.8,84
"Adam Duvall",1,99.5,104
"Phil Gosselin",1,95.5,81
"Evan Gattis",4,103.1,113
"Kevin Kiermaier",3,101.4,105
"Cameron Rupp",1,99.3,99
"Tommy Medica",1,109.1,97
"Ramon Flores",1,102.1,47
"Josh Rutledge",1,102.1,87
"Kole Calhoun",3,103,115
"Adam Eaton",3,97.6,117
"Matt Szczur",1,101.3,88
"Jonathan Schoop",2,99.7,83
"Jake Marisnick",2,97,71
"Yasmani Grandal",3,103.9,116
"Delino DeShields",1,95,96
"Tyler Holt",1,94.6,71
"Mark Canha",1,104,107
"Odubel Herrera",2,100,111
"Christian Yelich",3,95.8,123
"Michael Taylor",1,98.4,69
"Manny Machado",3,101.2,122
"Bryce Harper",5,100.6,139
"Carlos Sanchez",1,98.6,61
"Brandon Drury",1,103,102
"Nick Castellanos",3,98.9,101
"J.T. Realmuto",2,103.6,98
"Leonys Martin",3,101.1,88
"Joc Pederson",2,101.7,122
"Joe Panik",2,99,110
"Travis Shaw",1,102.1,87
"Cody Asche",2,102.1,91
"Max Kepler",1,101.4,93
"Nick Ahmed",1,101.3,66
"Eddie Rosario",1,97.1,97
"Xander Bogaerts",3,97.6,102
"Miguel Sano",1,103.1,107
"Maikel Franco",1,106.5,92
"Rougned Odor",3,101.7,102
"Cory Spangenberg",1,104.9,104
"Jace Peterson",2,98.4,86
"Kevin Pillar",2,101.6,87
"Kolten Wong",3,99.2,91
"Marcus Semien",2,99.9,99
"C.J. Cron",2,105.6,110
"Eugenio Suarez",1,104.9,93
"Taylor Featherston",1,93.9,27
"Billy Burns",1,92.2,103
"Brad Miller",3,101.1,103
"George Springer",2,102.6,127
"James McCann",2,104,76
"Anthony Rendon",2,99.2,121
"Gregory Polanco",2,100.9,100
"Francisco Lindor",1,102.4,112
"Javier Baez",1,98.9,94
"Jackie Bradley Jr.",2,97.1,89
"Chris Colabello",1,94.3,142
"Nori Aoki",4,97.4,106
"Yoenis Cespedes",5,99.6,123
"Mike Zunino",2,100.2,69
"Jake Lamb",2,101.1,105
"Tyler Naquin",1,100.9,135
"Stephen Piscotty",1,98.8,115
"Jose Ramirez",1,92.2,122
"Mookie Betts",2,102.6,127
"Ketel Marte",1,99.4,66
"Corey Seager",1,105.5,137
"Travis Jankowski",1,99.7,82
"Adonis Garcia",1,105.5,90
"Matt Duffy",1,101.4,114
"Devon Travis",1,100.5,109
"Addison Russell",2,100.2,93
"Carlos Correa",1,100.5,122
"Jorge Soler",1,95.3,96
"Yasiel Puig",3,97.5,140
"Nomar Mazara",1,103.3,94
"Kris Bryant",2,102.2,143
"Alex Guerrero",1,102.2,91
"Jose Abreu",3,98.6,137
"Aledmys Diaz",1,98.3,132
"Michael Conforto",1,107.1,96
"Yasmany Tomas",2,104.5,100
"Jung Ho Kang",2,100,131
"Dae-Ho Lee",1,106,102
"Hank Aaron",2,102.4,109
"Kurt Abbott",2,101.2,96
"Glenn Adams",2,99.9,98
"Willie Aikens",5,99.8,129
"Mike Aldrete",2,98.5,117
"Gary Alexander",2,102.6,100
"Andy Allanson",2,94.3,70
"Dick Allen",2,101.4,131
"Jermaine Allensworth",2,99.5,87
"Bill Almon",5,98.9,85
"Sandy Alomar",2,98.7,69
"Rich Amaral",2,94.7,97
"Ruben Amaro",2,102.9,82
"Dave Anderson",2,97.9,92
"Jim Anderson",1,103.6,68
"Mike Anderson",1,100.2,78
"Rob Andrews",2,100.5,83
"Eric Anthony",2,103.4,99
"Tony Armas",9,102.6,104
"Alan Ashby",5,97.7,82
"Doug Ault",1,103.1,83
"Wally Backman",4,96.8,107
"Bob Bailey",2,93.5,127
"Mark Bailey",2,101.4,110
"Bob Bailor",6,98.7,75
"Harold Baines",18,100.4,121
"Dusty Baker",12,100.3,118
"Steve Balboni",7,102.1,102
"Sal Bando",6,98.8,114
"Alan Bannister",4,97.1,93
"Bret Barberie",2,101.1,97
"Jesse Barfield",9,102.3,120
"Marty Barrett",5,97.1,93
"Kevin Bass",9,101.9,105
"Jason Bates",1,99.9,83
"Don Baylor",13,100.6,120
"Bob Beall",1,98,90
"Rich Becker",6,100.5,93
"Mark Belanger",5,98.9,77
"Buddy Bell",13,97.5,110
"Derek Bell",8,101.9,104
"Albert Belle",10,102.6,142
"George Bell",10,99.9,112
"Rafael Belliard",4,97.1,52
"Juan Bell",1,99.4,74
"Johnny Bench",9,101.1,125
"Bruce Benedict",3,96.7,78
"Juan Beniquez",7,99.8,102
"Todd Benzinger",6,102.3,81
"Dave Bergman",3,98.7,111
"Tony Bernazard",7,98,101
"Dale Berra",3,98.8,78
"Geronimo Berroa",3,104.3,117
"Damon Berryhill",2,101.3,76
"Sean Berry",6,101.9,112
"Kurt Bevacqua",1,95.6,90
"Dante Bichette",12,102.6,105
"Larry Biittner",5,101.5,89
"Paul Blair",3,100.1,80
"Larvell Blanks",3,100.1,86
"Lance Blankenship",1,94.8,123
"Jeff Blauser",9,101.4,110
"Mike Blowers",3,103.1,103
"Bruce Bochte",10,96.8,113
"Tim Bogar",2,102.3,61
"Wade Boggs",16,95.4,132
"Bruce Boisclair",3,97.7,102
"Bobby Bonds",5,99.3,133
"Bobby Bonilla",13,100,127
"Juan Bonilla",1,100.8,69
"Barry Bonnell",7,101,94
"Bob Boone",14,98.9,83
"Glenn Borgmann",2,97.5,74
"Rick Bosetti",2,100.1,73
"Thad Bosley",1,97.6,147
"Daryl Boston",6,102.5,104
"Lyman Bostock",3,96.2,128
"Larry Bowa",11,97.7,75
"Phil Bradley",7,97.6,120
"Scott Bradley",2,101.8,82
"Glenn Braggs",3,100.3,99
"Jeff Branson",3,99.9,78
"Mickey Brantley",1,96.4,90
"Steve Braun",4,95.2,113
"Sid Bream",6,99.6,110
"Bob Brenly",5,102.1,113
"George Brett",19,98.5,133
"Johnny Briggs",2,97.8,120
"Greg Briley",4,100.1,88
"Ed Brinkman",1,100.2,70
"Greg Brock",7,99.9,104
"Lou Brock",5,96.5,103
"Rico Brogna",4,102.9,96
"Jack Brohamer",1,97.3,97
"Hubie Brooks",9,99.8,97
"Tom Brookens",6,100.4,81
"Scott Brosius",7,100.7,96
"Bob Brower",1,105.3,107
"Bobby Brown",1,100.1,97
"Brant Brown",2,103.9,98
"Chris Brown",2,97.2,126
"Jerry Browne",6,98.1,101
"Mike Brown",1,92,128
"Jacob Brumfield",2,101.6,89
"Tom Brunansky",11,101,108
"Steve Brye",1,97.8,94
"Bill Buckner",14,100.7,101
"Steve Buechele",8,98.9,99
"Damon Buford",2,103.9,72
"Jay Buhner",8,100.9,126
"Scott Bullett",1,96.3,42
"Al Bumbry",9,97.6,105
"Rick Burleson",8,96.9,89
"Jeff Burroughs",8,99.7,123
"Randy Bush",6,100.8,102
"Brett Butler",14,94.5,118
"Enos Cabell",11,98.6,95
"Ivan Calderon",4,99.8,121
"Ken Caminiti",11,100.3,115
"Bert Campaneris",4,97.8,95
"Casey Candaele",4,99.5,85
"John Cangelosi",5,97.4,100
"Jose Canseco",11,101.7,132
"Bernie Carbo",2,96.5,132
"Jose Cardenal",3,96.9,116
"Rod Carew",10,94.6,139
"Chuck Carr",2,102,75
"Mark Carreon",4,103,98
"Gary Carter",14,101.3,121
"Joe Carter",14,103.5,102
"Rico Carty",5,100.3,126
"Dave Cash",6,96.1,91
"John Castino",5,100,96
"Juan Castillo",1,100.8,65
"Manny Castillo",1,98.7,65
"Andujar Cedeno",3,101.4,73
"Cesar Cedeno",9,97.9,123
"Domingo Cedeno",1,104.5,88
"Rick Cerone",2,100.2,90
"Ron Cey",11,100.6,122
"Dave Chalk",5,96.3,89
"Chris Chambliss",11,99,109
"Wes Chamberlain",1,104.7,97
"Mike Champion",1,98.1,54
"Darrel Chaney",1,94.4,79
"Joe Charboneau",1,93.7,132
"Rich Chiles",1,101,86
"Dave Clark",3,100,107
"Jack Clark",12,99.7,141
"Jerald Clark",3,98.9,85
"Phil Clark",1,100.9,123
"Will Clark",14,99.3,136
"Gene Clines",3,99.1,74
"Rich Coggins",1,100.6,82
"Nate Colbert",1,99,97
"Alex Cole",4,97.9,92
"Vince Coleman",8,99.2,86
"Darnell Coles",3,103.8,102
"Dave Collins",8,99,95
"Bob Coluccio",1,96.4,84
"Dave Concepcion",13,99.3,93
"Onix Concepcion",1,95.7,39
"Cecil Cooper",13,100.4,122
"Scott Cooper",4,99.9,92
"Joey Cora",5,98.8,97
"Tim Corcoran",1,99.5,79
"Vic Correll",1,106.6,78
"Henry Cotto",2,100.6,83
"Al Cowens",10,99.4,101
"Willie Crawford",3,99.2,121
"Warren Cromartie",6,99,103
"Hector Cruz",3,98.7,81
"Jose Cruz",14,97.5,123
"Julio Cruz",6,98,75
"Todd Cruz",3,96.8,57
"Mike Cubbage",3,100.3,102
"Chad Curtis",8,100,97
"Milt Cuyler",1,95,90
"Paul Dade",2,100.7,89
"Kal Daniels",4,98.4,145
"Bobby Darwin",2,103.6,109
"Doug Dascenzo",2,101.1,75
"Rich Dauer",6,100.1,87
"Jack Daugherty",1,101.1,120
"Darren Daulton",5,99,122
"Alvin Davis",8,96.4,126
"Chili Davis",17,99.2,119
"Dick Davis",1,95.9,88
"Eric Davis",8,100.3,138
"Glenn Davis",6,102.3,125
"Jody Davis",6,100.6,95
"Mike Davis",6,101.3,103
"Russ Davis",3,103.3,94
"Tommy Davis",2,100.8,99
"Willie Davis",3,101.3,99
"Andre Dawson",17,102.1,120
"Doug DeCinces",11,100.4,115
"Rob Deer",8,102.4,110
"Ivan DeJesus",8,98.2,78
"Rick Dempsey",8,99,95
"Bucky Dent",8,96.3,76
"Bob Dernier",5,99.6,78
"Orestes Destrade",1,105.6,94
"Mike Devereaux",7,102.5,100
"Bo Diaz",4,103.5,95
"Mike Diaz",1,107.5,109
"Miguel Dilone",3,93.6,90
"Gary DiSarcina",6,99.2,63
"Bill Doran",10,97.6,111
"Brian Downing",14,98.8,126
"Denny Doyle",3,98.6,66
"Dan Driessen",9,99,113
"Rob Ducey",1,95.9,70
"Frank Duffy",4,98.7,60
"Dave Duncan",1,100.8,76
"Mariano Duncan",6,100.4,93
"Taylor Duncan",1,100.9,81
"Leon Durham",5,99.2,125
"Jim Dwyer",1,103.8,95
"Jerry Dybzinski",1,96.4,58
"Lenny Dykstra",6,97.1,125
"Mike Easler",6,98.3,125
"Mike Edwards",2,97.5,67
"Jim Eisenreich",9,100.1,105
"John Ellis",2,101.5,110
"Kevin Elster",4,99,83
"Dave Engle",2,97.7,95
"Nick Esasky",5,101.5,115
"Alvaro Espinoza",3,94.9,66
"Cecil Espy",3,98.6,80
"Jim Essian",2,94.9,105
"Tony Eusebio",2,101.8,99
"Darrell Evans",16,101.7,117
"Dwight Evans",17,98.2,130
"Ron Fairly",3,98.7,126
"Mike Felder",4,100.9,77
"Junior Felix",3,102.9,96
"Joe Ferguson",5,100,121
"Felix Fermin",5,96.9,70
"Tony Fernandez",14,99,103
"Cecil Fielder",8,104.3,120
"Jesus Figueroa",1,95.3,65
"Mike Fischlin",1,95.4,89
"Carlton Fisk",12,100.2,115
"Mike Fitzgerald",4,99.8,79
"Tim Flannery",4,95.7,95
"Scott Fletcher",9,97.5,91
"Gil Flores",1,98.7,93
"Doug Flynn",8,95.6,49
"Tom Foley",3,103.8,94
"Tim Foli",8,97.8,66
"Barry Foote",4,99.4,73
"Dan Ford",7,102.2,110
"George Foster",12,100.3,131
"Terry Francona",1,99.6,80
"Lou Frazier",1,96.6,90
"Bill Freehan",2,101.2,116
"Pepe Frias",2,98.2,53
"Doug Frobel",1,103.7,81
"Jeff Frye",3,97,97
"Tito Fuentes",4,98.5,84
"Gary Gaetti",17,100,95
"Greg Gagne",13,100.2,83
"Dave Gallagher",1,95.4,81
"Mike Gallego",5,97.4,91
"Oscar Gamble",6,101.5,137
"Jim Gantner",10,98.7,89
"Barbaro Garbey",1,98.1,99
"Carlos Garcia",3,99.6,92
"Damaso Garcia",6,95.9,87
"Kiko Garcia",2,101.4,66
"Pedro Garcia",2,98.3,60
"Ron Gardenhire",1,94.9,65
"Jeff Gardner",1,101.4,91
"Phil Garner",12,98.6,101
"Wayne Garrett",2,99.9,96
"Ralph Garr",6,97.5,104
"Steve Garvey",13,99.3,118
"Cito Gaston",1,105.1,66
"Brent Gates",4,99.7,83
"Rich Gedman",3,99.9,111
"Cesar Geronimo",6,99.7,96
"Kirk Gibson",8,101.2,128
"Rod Gilbreath",3,101.2,75
"Brian Giles",1,99.2,73
"Bernard Gilkey",7,100.5,117
"Dan Gladden",7,100.6,89
"Leo Gomez",3,100.8,109
"Luis Gomez",2,93.1,36
"Fernando Gonzalez",2,99.6,66
"Julio Gonzalez",1,104.6,69
"Rene Gonzales",2,97.9,101
"David Green",3,98.9,97
"Dick Green",1,98.7,63
"Mike Greenwell",7,96.6,126
"Willie Greene",4,102.5,102
"Tommy Gregg",2,102.1,80
"Bobby Grich",11,97.7,131
"Tom Grieve",2,101.7,110
"Alfredo Griffin",12,97.5,67
"Ken Griffey",13,98.7,120
"Greg Gross",9,95.9,111
"Wayne Gross",8,102.2,108
"Jerry Grote",1,95.3,106
"Johnny Grubb",7,98.9,119
"Kelly Gruber",6,101.5,105
"Mario Guerrero",2,97.5,74
"Pedro Guerrero",9,99.2,141
"Ozzie Guillen",11,98,66
"Brad Gulden",1,102.5,72
"Jackie Gutierrez",1,96,61
"Tony Gwynn",16,94.7,133
"Jerry Hairston",2,98.3,109
"Mel Hall",9,101.9,104
"Bob Hamelin",1,100.9,121
"Darryl Hamilton",8,98.7,102
"Jeff Hamilton",2,99.2,83
"Mike Hargrove",11,95.4,123
"Larry Harlow",2,98.8,105
"Brian Harper",5,97.2,109
"Terry Harper",2,103,98
"Tommy Harper",2,99.5,87
"Toby Harrah",11,97.9,125
"Bud Harrelson",3,94.9,80
"Ron Hassey",5,95.8,115
"Billy Hatcher",8,100.6,90
"Mickey Hatcher",4,98.8,94
"Charlie Hayes",10,100.1,91
"Von Hayes",9,100.5,118
"Fran Healy",1,98.6,108
"Mike Heath",4,100.3,96
"Richie Hebner",7,101,117
"Danny Heep",2,99.7,104
"Mike Hegan",1,98.2,112
"Tommy Helms",1,97,90
"Dave Henderson",10,101.2,113
"Ken Henderson",3,99.9,113
"Steve Henderson",4,97.1,115
"George Hendrick",11,99.8,123
"Carlos Hernandez",1,99.7,82
"Enzo Hernandez",3,97.7,69
"Keith Hernandez",12,95.6,135
"Larry Herndon",8,100.7,102
"Ed Herrmann",2,101.4,75
"Tom Herr",9,98.1,97
"Donnie Hill",4,99.7,87
"Glenallen Hill",5,102.7,111
"Marc Hill",2,98.7,83
"Larry Hisle",4,101.8,135
"Butch Hobson",3,99.4,99
"Ron Hodges",1,93.2,101
"Glenn Hoffman",3,99.1,69
"Chris Hoiles",4,102.1,124
"Jim Holt",1,101.8,58
"Bob Horner",6,102.9,129
"Sam Horn",1,101.5,127
"Willie Horton",5,101.4,104
"Dave Hostetler",1,104.9,100
"Paul Householder",2,104.4,78
"David Howard",1,99.7,52
"Thomas Howard",6,100.8,87
"Wilbur Howard",1,101.4,97
"Art Howe",6,98.2,109
"Jack Howell",4,101,105
"Roy Howell",6,98.8,97
"Kent Hrbek",12,97.5,128
"Glenn Hubbard",7,98.4,88
"Tim Hulett",2,100.6,77
"David Hulse",2,98.1,76
"Terry Humphrey",1,94.5,61
"Ron Hunt",1,100.2,96
"Clint Hurdle",2,98.9,114
"Butch Huskey",5,102.7,99
"Jeff Huson",3,96.2,82
"Pete Incaviglia",8,102.8,110
"Dane Iorg",2,101.7,110
"Garth Iorg",6,98.2,75
"Mike Ivie",5,102.5,116
"Bo Jackson",4,101.5,116
"Darrin Jackson",3,103.3,103
"Reggie Jackson",13,101,135
"Ron Jackson",6,100.1,95
"Brook Jacoby",9,98.6,103
"John Jaha",3,101.6,128
"Chris James",6,99.1,94
"Dion James",5,96.4,115
"Stan Javier",11,101.4,96
"Gregg Jefferies",10,100.3,108
"Reggie Jefferson",3,101.4,111
"Stan Jefferson",1,101.9,70
"Steve Jeltz",4,97.1,68
"Houston Jimenez",1,97,28
"Alex Johnson",2,98.4,93
"Cliff Johnson",9,100.1,128
"Davey Johnson",1,90.3,107
"Deron Johnson",2,101,78
"Howard Johnson",8,101.1,122
"Jay Johnstone",5,98.2,123
"Lamar Johnson",5,99.8,108
"Lance Johnson",8,98.3,99
"Cleon Jones",1,97.6,119
"Ruppert Jones",8,100.3,107
"Tracy Jones",1,107.3,100
"Kevin Jordan",3,102,65
"Ricky Jordan",2,98.9,105
"Mike Jorgensen",4,100.3,119
"Von Joshua",3,100.1,93
"Wally Joyner",13,99.6,117
"Al Kaline",1,93.2,106
"Ron Karkovice",4,103.3,83
"Bob Kearney",3,100.8,73
"Mick Kelleher",1,95.3,43
"Pat Kelly",4,96.5,112
"Pat Kelly",2,99,91
"Roberto Kelly",7,98.2,104
"Steve Kemp",7,98.2,124
"Fred Kendall",2,99,80
"Junior Kennedy",1,100.5,82
"Terry Kennedy",9,99.5,98
"Don Kessinger",4,98.4,77
"Harmon Killebrew",2,104.1,92
"Mike Kingery",4,97.9,94
"Jeff King",7,101.9,101
"Dave Kingman",11,103.9,113
"Wayne Kirby",1,101.9,87
"Ed Kirkpatrick",1,102,101
"Ron Kittle",5,104.5,103
"Ray Knight",9,98.5,102
"Brad Komminsk",1,104.6,77
"Ed Kranepool",3,95.4,115
"John Kruk",8,97.3,136
"Duane Kuiper",5,97.8,81
"Craig Kusick",2,101.3,124
"Pete LaCock",4,100.6,93
"Lee Lacy",8,99,116
"Joe Lahoud",1,99.2,146
"Rafael Landestoy",2,101.6,88
"Ken Landreaux",8,100.8,102
"Carney Lansford",12,98.2,111
"Mike Lansing",8,101.5,83
"Gene Larkin",4,99.8,100
"Tim Laudner",1,104.6,99
"Mike LaValliere",4,98.5,95
"Rudy Law",5,97.2,90
"Vance Law",8,98.7,100
"Rick Leach",2,101.1,100
"Manuel Lee",4,95.3,78
"Joe Lefebvre",1,99.3,147
"Ron LeFlore",6,97.7,110
"Scott Leius",2,96.9,77
"Johnnie LeMaster",6,98.9,63
"Mark Lemke",7,100.2,74
"Chet Lemon",14,98.7,120
"Jeffrey Leonard",8,100.7,101
"Jesse Levis",1,97.6,69
"Mark Lewis",4,101.4,83
"Jim Leyritz",2,102,115
"Sixto Lezcano",9,98.7,127
"Jose Lind",6,96.4,67
"Larry Lintz",1,94.6,76
"Nelson Liriano",4,99.9,89
"Pat Listach",1,92.5,101
"Bryan Little",1,100.7,98
"Scott Livingstone",1,97.3,93
"Gene Locklear",1,100.3,132
"Steve Lombardozzi",2,97.8,73
"Davey Lopes",9,98.4,111
"Torey Lovullo",1,102.5,83
"John Lowenstein",4,100,119
"Mike Lum",3,101.7,74
"Greg Luzinski",10,98.9,134
"Fred Lynn",14,97.8,131
"Steve Lyons",3,96.5,88
"Kevin Maas",1,100.6,103
"Mike Macfarlane",5,99.7,104
"Pete Mackanin",3,101.3,71
"Shane Mack",5,99.3,124
"Elliott Maddox",3,95.6,111
"Garry Maddox",8,98.8,101
"Bill Madlock",13,96.5,119
"Dave Magadan",8,96.9,121
"Candy Maldonado",8,99.4,110
"Angel Mangual",1,104.5,83
"Pepe Mangual",2,97.3,95
"Rick Manning",9,98.4,87
"Fred Manrique",3,96,85
"Kirt Manwaring",4,101,79
"Mike Marshall",6,99.3,121
"Carmelo Martinez",7,101.3,110
"Carlos Martinez",1,97.4,110
"Dave Martinez",12,100.1,101
"Felix Martinez",1,100.9,57
"Jerry Martin",4,103,98
"Manny Martinez",1,102.6,53
"Ted Martinez",1,100.7,57
"Jim Mason",1,100.7,90
"Gary Matthews",12,99.9,122
"Don Mattingly",11,99.3,126
"Len Matuszek",1,102.3,68
"John Mayberry",7,101.7,119
"Carlos May",3,98.6,98
"Dave May",3,99.3,74
"Derrick May",5,100.9,96
"Lee May",6,103.7,105
"Milt May",6,101.1,88
"Lee Mazzilli",6,99.2,116
"Bake McBride",6,97.7,112
"Willie McCovey",5,100.9,124
"Oddibe McDowell",6,101.6,96
"Willie McGee",15,98.4,102
"Mark McGwire",11,102.5,159
"Dave McKay",2,100.4,68
"Jeff McKnight",1,96.1,74
"Brian McRae",9,100.1,94
"Hal McRae",13,97.4,126
"Kevin McReynolds",10,101.4,117
"Bob Meacham",1,100.5,64
"Pat Meares",6,99.3,73
"Luis Melendez",1,94.6,78
"Bill Melton",3,98.3,102
"Mario Mendoza",1,92.5,20
"Roger Metzger",4,96.2,68
"Dan Meyer",7,101.5,84
"Matt Mieske",1,103.1,93
"Larry Milbourne",3,100.7,71
"Felix Millan",3,94.3,92
"Keith Miller",1,101.3,109
"Orlando Miller",1,104.5,86
"Rick Miller",5,95.3,94
"Randy Milligan",5,98.4,134
"Eddie Milner",5,98.9,99
"John Milner",6,98.1,118
"Bobby Mitchell",1,99.4,76
"Kevin Mitchell",6,102.2,142
"George Mitterwald",1,103.1,67
"Bob Molinaro",2,98.5,99
"Paul Molitor",19,97.8,123
"Rick Monday",6,100.1,123
"Don Money",5,99,121
"Willie Montanez",7,98.7,100
"Charlie Moore",6,98.8,90
"Junior Moore",1,101.5,75
"Jerry Morales",6,100.8,88
"Jose Morales",1,93.4,117
"Mickey Morandini",8,101,86
"Keith Moreland",8,100.3,101
"Omar Moreno",9,99.2,77
"Joe Morgan",10,96.6,139
"Hal Morris",8,99.5,116
"Jim Morrison",3,102.1,104
"Lloyd Moseby",11,99.7,103
"John Moses",3,102,75
"Darryl Motley",2,102.3,95
"James Mouton",1,100.7,92
"Rance Mulliniks",8,97.6,117
"Jerry Mumphrey",11,97.7,109
"Pedro Munoz",3,102.6,96
"Thurman Munson",5,99,114
"Bobby Murcer",7,99.9,113
"Dale Murphy",14,102.2,121
"Dwayne Murphy",7,100.3,118
"Eddie Murray",19,99.6,127
"Tony Muser",1,98.5,60
"Tim Naehring",2,98.7,115
"Bill Nahorodny",1,102.3,77
"Troy Neel",1,100.2,131
"Dave Nelson",1,101.1,69
"Graig Nettles",13,101.7,113
"Morris Nettles",1,100.9,66
"Marc Newfield",1,104.8,99
"Al Newman",4,97.5,65
"Jeff Newman",3,102.5,81
"Melvin Nieves",2,104.2,96
"Dave Nilsson",5,100.3,113
"Otis Nixon",10,95.9,85
"Matt Nokes",5,104,107
"Wayne Nordhagen",1,102.7,102
"Nelson Norman",1,92.5,43
"Jim Norris",4,99.7,95
"Billy North",6,95.8,107
"Jim Northrup",1,103.1,89
"Willie Norwood",1,97,87
"Jon Nunnally",1,103.9,111
